timestamp,close,high,low,trade_count,open,volume,vwap,year,month,day,hour
2021-10-13 04:00:00+00:00,155.59,156.31,155.13,18013,155.65,1223979,155.658705,2021,10,13,4
2021-10-14 04:00:00+00:00,157.87,158.8,157.02,22007,157.13,1346271,157.920896,2021,10,14,4
2021-10-15 04:00:00+00:00,157.06,159.24,156.8,17305,158.86,1040186,157.574314,2021,10,15,4
2021-10-18 04:00:00+00:00,155.72,156.58,154.83,29712,156.58,1807468,155.517007,2021,10,18,4
2021-10-19 04:00:00+00:00,157.4,158.22,156.7,27049,156.75,1590283,157.54373,2021,10,19,4
2021-10-20 04:00:00+00:00,157.7,158.75,157.455,32558,157.47,1960683,158.065746,2021,10,20,4
2021-10-21 04:00:00+00:00,158.9,159.04,157.7591,13746,158.24,847752,158.666383,2021,10,21,4
2021-10-22 04:00:00+00:00,158.44,159.36,156.8,17718,159.36,1205535,157.95372,2021,10,22,4
2021-10-25 04:00:00+00:00,160.24,160.45,157.575,15511,158.59,839207,159.535074,2021,10,25,4
2021-10-26 04:00:00+00:00,160.04,161.55,159.65,38500,161.14,2173460,160.473001,2021,10,26,4
2021-10-27 04:00:00+00:00,157.54,160.42,157.44,36346,160.21,1977982,158.364852,2021,10,27,4
2021-10-28 04:00:00+00:00,160.19,160.29,157.24,33926,157.62,2139163,159.31647,2021,10,28,4
2021-10-29 04:00:00+00:00,159.6,159.92,158.4,35549,159.92,2037934,159.392816,2021,10,29,4
2021-11-01 04:00:00+00:00,161.63,161.75,158.95,45662,159.83,2393500,160.935994,2021,11,1,4
2021-11-02 04:00:00+00:00,162.67,162.73,159.6507,27578,162.0,1740433,161.592413,2021,11,2,4
2021-11-03 04:00:00+00:00,164.78,164.83,161.87,18074,162.81,1026026,163.556278,2021,11,3,4
2021-11-04 04:00:00+00:00,161.83,162.94,160.67,31551,162.94,1904515,161.532285,2021,11,4,4
2021-11-05 04:00:00+00:00,156.94,158.38,154.61,51269,158.02,3197210,157.097827,2021,11,5,4
2021-11-08 05:00:00+00:00,157.63,158.2,156.62,26698,157.36,1444841,157.355259,2021,11,8,5
2021-11-09 05:00:00+00:00,155.52,158.2,155.18,62113,157.63,3055565,156.112885,2021,11,9,5
2021-11-10 05:00:00+00:00,153.51,156.75,153.32,54086,154.74,2755833,154.806283,2021,11,10,5
2021-11-11 05:00:00+00:00,153.42,154.41,152.74,25110,154.08,1352080,153.484365,2021,11,11,5
2021-11-12 05:00:00+00:00,154.0,154.4799,152.648,18660,154.0,1058960,153.528774,2021,11,12,5
2021-11-15 05:00:00+00:00,153.18,154.5,152.89,17111,154.45,1000928,153.642367,2021,11,15,5
2021-11-16 05:00:00+00:00,154.06,154.34,152.41,20956,153.18,1466388,153.624461,2021,11,16,5
2021-11-17 05:00:00+00:00,154.1,154.66,153.37,37162,154.0,1874189,154.102589,2021,11,17,5
2021-11-18 05:00:00+00:00,153.68,155.5,153.11,22090,155.04,1133506,154.057407,2021,11,18,5
2021-11-19 05:00:00+00:00,154.56,155.6649,153.88,36211,154.46,1993128,154.708595,2021,11,19,5
2021-11-22 05:00:00+00:00,153.68,155.23,152.88,41744,155.04,2029253,154.578303,2021,11,22,5
2021-11-23 05:00:00+00:00,153.01,153.41,150.21,53192,153.41,2833102,151.761116,2021,11,23,5
2021-11-24 05:00:00+00:00,153.4,153.68,150.85,29571,151.65,1460079,152.562693,2021,11,24,5
2021-11-26 05:00:00+00:00,154.9,157.85,154.55,57236,155.14,3031069,156.082055,2021,11,26,5
2021-11-29 05:00:00+00:00,156.06,158.43,155.855,67359,158.16,5119388,156.827544,2021,11,29,5
2021-11-30 05:00:00+00:00,154.22,156.22,152.37,66958,154.56,3300178,154.094072,2021,11,30,5
2021-12-01 05:00:00+00:00,150.74,155.27,150.6,61963,154.3,3173832,152.970013,2021,12,1,5
2021-12-02 05:00:00+00:00,151.23,152.31,149.11,33087,150.01,1945732,150.918615,2021,12,2,5
2021-12-03 05:00:00+00:00,148.39,152.65,147.23,35437,152.65,2277085,148.722644,2021,12,3,5
2021-12-06 05:00:00+00:00,145.27,147.2,143.25,76700,147.0,4013308,145.206777,2021,12,6,5
2021-12-07 05:00:00+00:00,150.97,151.41,147.28,38764,147.41,2652799,150.196018,2021,12,7,5
2021-12-08 05:00:00+00:00,152.68,153.32,149.92,41089,151.79,2261792,152.156756,2021,12,8,5
2021-12-09 05:00:00+00:00,149.52,152.62,149.37,19558,152.28,1274175,150.793708,2021,12,9,5
